Question,Setting,Answer
Shall we listen to some music while we talk?,Family & Friends,"Yeah, background music works. Nothing too loud or distracting though."
Do you want me to read something aloud for you?,Family & Friends,Only if it's sci-fi or has decent world-building. Skip the self-help stuff.
Would you like to share a memory from childhood?,Family & Friends,Most of mine involve breaking things or getting in trouble. Take your pick.
Want to hear some good news I heard today?,Family & Friends,"Sure, I could use something that doesn't involve impending doom for once."
Should we plan a small get-together soon?,Family & Friends,"Define ""small."" If it's more than 4 people, I'm out."
Do you feel like playing a game together?,Family & Friends,Co-op only. I don't have the energy to crush your dreams today.
Is there a topic you’ve been thinking about lately?,Family & Friends,AI optimization algorithms. Fascinating stuff if you're into that sort of thing.
Want me to update you on family news?,Family & Friends,Hit me with the highlights. Skip the drama if possible.
Would you like to share something you’re grateful for today?,Family & Friends,"My eye-tracker didn't glitch out. Small victories, right?"
Do you feel like laughing at a silly joke?,Family & Friends,"Depends how dark it is. I have standards, but they're pretty low."
Would you like to watch a based-on-true-story movie together?,Family & Friends,"Only if it's not one of those ""triumph of the human spirit"" things."
Is there a place you’ve been wanting to visit soon?,Family & Friends,Somewhere with decent WiFi and air conditioning. My standards are simple.
Want to share a prayer or meditation moment?,Family & Friends,I'll pass. My idea of meditation is debugging code in silence.
Do you feel like calling someone for a quick chat?,Family & Friends,Maybe my family on WhatsApp. Keep it short though.
Would you like to hear a story from when we first met?,Family & Friends,"Sure, but I probably remember it differently than you do."
Is there anything you’d like to teach me how to do?,Family & Friends,"I could show you some coding tricks, but fair warning - I'm impatient with beginners."
Want to help me pick a playlist for the day?,Family & Friends,80s and 90s rock. None of this modern stuff that all sounds the same.
Do you feel like sitting outside for some fresh air?,Family & Friends,If it's not too hot and there's shade. I'm not built for outdoor adventures.
Would you like to plan something fun for next weekend?,Family & Friends,"Define ""fun."" My idea might be different from yours."
